date,code,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange,snapshot_date,vietnameseName
12/3/2021,FUESSV50,15:12:06,HOSE,ETF,23.4,25.03,21.77,23.48,25.03,23.1,23.1,24.47,23.48,25.03,23.1,23.1,24.47,31800,778132000,0,0,-0.3,-0.3,-1.2821,12/3/2021,Tài chính
12/3/2021,FUCVREIT,15:12:06,HOSE,IFC,11.85,12.65,11.05,11.65,11.9,11.6,11.6,11.79,11.65,11.9,11.6,11.6,11.79,20200,238245000,0,0,-0.25,-0.25,-2.1097,12/3/2021,Tài chính
12/1/2021,HCM,15:12:03,HOSE,STOCK,49,52.4,45.6,48.8,49.1,47.5,48.25,48.32,48.252,48.548,46.966,47.708,47.777,6345900,3.06648E+11,0,0,-0.75,-0.7416,-1.5306,12/1/2021,Tài chính
12/1/2021,E1VFVN30,15:12:03,HOSE,ETF,25.8,27.6,24,25.8,26.2,25.75,26.2,25.85,25.8,26.2,25.75,26.2,25.85,1079300,27899605000,1900000,49183500000,0.4,0.4,1.5504,12/1/2021,Tài chính
12/1/2021,FUCTVGF3,15:12:03,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,12/1/2021,Tài chính
12/1/2021,FUCVREIT,15:12:03,HOSE,IFC,12.1,12.9,11.3,12.1,12.1,11.5,11.6,11.92,12.1,12.1,11.5,11.6,11.92,9900,117960000,0,0,-0.5,-0.5,-4.1322,12/1/2021,Tài chính
12/3/2021,E1VFVN30,15:12:06,HOSE,ETF,26.18,28.01,24.35,26.18,26.18,25.5,25.5,25.85,26.18,26.18,25.5,25.5,25.85,599500,15495622000,0,0,-0.68,-0.68,-2.5974,12/3/2021,Tài chính
12/10/2021,FUCVREIT,15:12:03,HOSE,IFC,11.5,12.3,10.7,11.5,11.8,11.4,11.8,11.66,11.5,11.8,11.4,11.8,11.66,8500,99140000,0,0,0.3,0.3,2.6087,12/10/2021,Tài chính
12/16/2021,FUCVREIT,15:12:03,HOSE,IFC,12.15,13,11.3,12,12.5,11.3,12.4,11.84,12,12.5,11.3,12.4,11.84,6700,79355000,0,0,0.25,0.25,2.0576,12/16/2021,Tài chính
12/14/2021,HCM,15:12:03,HOSE,STOCK,44.7,47.8,41.6,45,45.85,44.6,45.1,45.37,45,45.85,44.6,45.1,45.37,4294300,1.94817E+11,0,0,0.4,0.4,0.8949,12/14/2021,Tài chính
12/15/2021,FUCVREIT,15:12:03,HOSE,IFC,12.25,13.1,11.4,12.25,12.25,12.15,12.15,12.2,12.25,12.25,12.15,12.15,12.2,4100,50030000,0,0,-0.1,-0.1,-0.8163,12/15/2021,Tài chính
12/10/2021,FUCTVGF3,15:12:03,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,12/10/2021,Tài chính
12/6/2021,E1VFVN30,15:12:02,HOSE,ETF,25.5,27.28,23.72,25.51,25.52,24.9,25.01,25.24,25.51,25.52,24.9,25.01,25.24,790200,19943394000,0,0,-0.49,-0.49,-1.9216,12/6/2021,Tài chính
12/6/2021,FUCTVGF3,15:12:02,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,12/6/2021,Tài chính
12/30/2021,FUCTVGF3,15:12:03,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,12/30/2021,Tài chính
12/20/2021,FUCTVGF3,15:12:02,HOSE,IFC,12,12.8,11.2,12,12,12,12,12,12,12,12,12,12,100,1200000,0,0,0,0,0,12/20/2021,Tài chính
12/6/2021,FUESSV50,15:12:02,HOSE,ETF,23.1,24.71,21.49,22.8,22.8,22,22,22.28,22.8,22.8,22,22,22.28,29200,650457000,0,0,-1.1,-1.1,-4.7619,12/6/2021,Tài chính
12/31/2021,HCM,15:12:02,HOSE,STOCK,45.95,49.15,42.75,46.45,46.6,45.45,45.5,45.9,46.45,46.6,45.45,45.5,45.9,2735900,1.25569E+11,0,0,-0.45,-0.45,-0.9793,12/31/2021,Tài chính
12/23/2021,FUCTVGF3,15:12:04,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,12/23/2021,Tài chính
12/21/2021,FUESSV50,15:12:02,HOSE,ETF,22.4,23.96,20.84,22.5,22.6,22.5,22.5,22.51,22.5,22.6,22.5,22.5,22.51,21400,481620000,0,0,0.1,0.1,0.4464,12/21/2021,Tài chính
12/27/2021,HCM,15:12:02,HOSE,STOCK,44,47.05,40.95,44.8,44.9,43.9,43.9,44.35,44.8,44.9,43.9,43.9,44.35,1927900,85497275000,0,0,-0.1,-0.1,-0.2273,12/27/2021,Tài chính
12/17/2021,E1VFVN30,15:12:03,HOSE,ETF,25.35,27.12,23.58,25.5,25.53,25.42,25.5,25.49,25.5,25.53,25.42,25.5,25.49,135900,3464292000,0,0,0.15,0.15,0.5917,12/17/2021,Tài chính
12/17/2021,FUCTVGF3,15:12:03,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,12/17/2021,Tài chính
12/16/2021,HCM,15:12:03,HOSE,STOCK,44.2,47.25,41.15,44.4,44.5,43.4,43.5,43.82,44.4,44.5,43.4,43.5,43.82,3523300,1.54374E+11,0,0,-0.7,-0.7,-1.5837,12/16/2021,Tài chính
12/1/2021,FUESSV50,15:12:03,HOSE,ETF,23.5,25.14,21.86,23.3,23.3,23.09,23.3,23.1,23.3,23.3,23.09,23.3,23.1,104400,2411409000,0,0,-0.2,-0.2,-0.8511,12/1/2021,Tài chính
12/3/2021,HCM,15:12:06,HOSE,STOCK,47.7,51,44.4,47.7,47.9,44.5,44.5,46.12,47.164,47.362,44,44,45.602,10040500,4.63051E+11,0,0,-3.2,-3.164,-6.7086,12/3/2021,Tài chính
11/24/2021,HCM,15:11:03,HOSE,STOCK,46.5,49.75,43.25,47.5,48.35,46.9,47.3,47.62,46.966,47.807,46.373,46.769,47.085,6463800,3.07791E+11,0,0,0.8,0.791,1.7204,11/24/2021,Tài chính
11/2/2021,HCM,15:11:03,HOSE,STOCK,39.5,42.25,36.75,39.5,40.4,39.5,40.3,40.06,39.056,39.946,39.056,39.847,39.61,4351000,1.74289E+11,0,0,0.8,0.791,2.0253,11/2/2021,Tài chính
11/18/2021,E1VFVN30,15:11:03,HOSE,ETF,25.52,27.3,23.74,25.6,25.6,25.39,25.4,25.44,25.6,25.6,25.39,25.4,25.44,656900,16714135000,720000,18279000000,-0.12,-0.12,-0.4702,11/18/2021,Tài chính
11/8/2021,FUCTVGF3,15:11:03,HOSE,IFC,11.15,11.9,10.4,10.4,11.9,10.4,11.9,11.47,10.4,11.9,10.4,11.9,11.47,700,8030000,0,0,0.75,0.75,6.7265,11/8/2021,Tài chính
11/12/2021,FUESSV50,15:11:03,HOSE,ETF,23.1,24.71,21.49,22.6,22.8,22.5,22.8,22.51,22.6,22.8,22.5,22.8,22.51,106500,2396880000,0,0,-0.3,-0.3,-1.2987,11/12/2021,Tài chính
11/12/2021,FUCVREIT,15:11:03,HOSE,IFC,10.3,11,9.58,10.65,11,10.55,11,10.7,10.65,11,10.55,11,10.7,44200,472985000,0,0,0.7,0.7,6.7961,11/12/2021,Tài chính
11/2/2021,FUCTVGF3,15:11:03,HOSE,IFC,11.15,11.9,10.4,11.15,11.15,11.15,11.15,0,11.15,11.15,11.15,11.15,0,0,0,0,0,0,0,0,11/2/2021,Tài chính
11/4/2021,FUCVREIT,15:11:03,HOSE,IFC,10.1,10.8,9.4,10.25,10.25,10.2,10.2,10.21,10.25,10.25,10.2,10.2,10.21,7600,77620000,0,0,0.1,0.1,0.9901,11/4/2021,Tài chính
11/30/2021,FUESSV50,15:11:03,HOSE,ETF,23.1,24.71,21.49,23.1,23.5,23.08,23.5,23.09,23.1,23.5,23.08,23.5,23.09,919900,21236430000,20020,462061600,0.4,0.4,1.7316,11/30/2021,Tài chính
11/25/2021,FUCTVGF3,15:11:02,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,11/25/2021,Tài chính
11/22/2021,FUESSV50,15:11:04,HOSE,ETF,22.5,24.07,20.93,22.5,22.6,22.5,22.6,22.55,22.5,22.6,22.5,22.6,22.55,23600,532160000,0,0,0.1,0.1,0.4444,11/22/2021,Tài chính
11/9/2021,E1VFVN30,15:11:05,HOSE,ETF,25.95,27.76,24.14,25.9,25.93,25.6,25.69,25.76,25.9,25.93,25.6,25.69,25.76,427200,11004413000,0,0,-0.26,-0.26,-1.0019,11/9/2021,Tài chính
11/5/2021,E1VFVN30,15:11:11,HOSE,ETF,25.65,27.44,23.86,25.65,25.96,25.61,25.96,25.71,25.65,25.96,25.61,25.96,25.71,170200,4375391000,40000,1096000000,0.31,0.31,1.2086,11/5/2021,Tài chính
11/5/2021,FUCTVGF3,15:11:11,HOSE,IFC,11.15,11.9,10.4,11.15,11.15,11.15,11.15,0,11.15,11.15,11.15,11.15,0,0,0,0,0,0,0,0,11/5/2021,Tài chính
11/24/2021,FUESSV50,15:11:03,HOSE,ETF,22.8,24.39,21.21,23,23.3,23,23.3,23.08,23,23.3,23,23.3,23.08,20700,477745000,0,0,0.5,0.5,2.193,11/24/2021,Tài chính
11/16/2021,FUESSV50,15:11:02,HOSE,ETF,22.8,24.39,21.21,22.7,22.7,22.65,22.65,22.7,22.7,22.7,22.65,22.65,22.7,15000,340490000,0,0,-0.15,-0.15,-0.6579,11/16/2021,Tài chính
11/26/2021,FUCVREIT,15:11:03,HOSE,IFC,11.65,12.45,10.85,11.6,11.95,11,11.95,11.63,11.6,11.95,11,11.95,11.63,27400,318605000,0,0,0.3,0.3,2.5751,11/26/2021,Tài chính
11/8/2021,FUESSV50,15:11:03,HOSE,ETF,22.6,24.18,21.02,22.6,22.8,22,22.8,22.42,22.6,22.8,22,22.8,22.42,66100,1482060000,0,0,0.2,0.2,0.885,11/8/2021,Tài chính
11/5/2021,FUCVREIT,15:11:11,HOSE,IFC,10.2,10.9,9.49,10.2,10.25,10,10.1,10.13,10.2,10.25,10,10.1,10.13,8100,82060000,0,0,-0.1,-0.1,-0.9804,11/5/2021,Tài chính
11/5/2021,HCM,15:11:11,HOSE,STOCK,41.85,44.75,38.95,42.4,42.4,41.85,42.1,42.12,41.924,41.924,41.38,41.627,41.647,4664500,1.96462E+11,0,0,0.25,0.2472,0.5974,11/5/2021,Tài chính
11/16/2021,FUCTVGF3,15:11:02,HOSE,IFC,11.9,12.7,11.1,11.9,11.9,11.9,11.9,0,11.9,11.9,11.9,11.9,0,0,0,0,0,0,0,0,11/16/2021,Tài chính
11/23/2021,E1VFVN30,15:11:04,HOSE,ETF,25.25,27.01,23.49,25.48,25.63,25.45,25.6,25.55,25.48,25.63,25.45,25.6,25.55,177600,4538180000,0,0,0.35,0.35,1.3861,11/23/2021,Tài chính
11/2/2021,E1VFVN30,15:11:03,HOSE,ETF,25.69,27.48,23.9,25.69,25.69,25.5,25.69,25.56,25.69,25.69,25.5,25.69,25.56,657500,16803905000,108000,2758428000,0,0,0,11/2/2021,Tài chính
11/18/2021,FUESSV50,15:11:03,HOSE,ETF,22.7,24.28,21.12,22.7,22.7,22.6,22.7,22.68,22.7,22.7,22.6,22.7,22.68,9100,206360000,100000,2425000000,0,0,0,11/18/2021,Tài chính
11/30/2021,E1VFVN30,15:11:03,HOSE,ETF,26.2,28.03,24.37,26,26.25,25.7,25.8,25.97,26,26.25,25.7,25.8,25.97,1214800,31546616000,200000,5187400000,-0.4,-0.4,-1.5267,11/30/2021,Tài chính
11/25/2021,HCM,15:11:02,HOSE,STOCK,47.3,50.6,44,47.6,48.75,46.85,47.7,47.77,47.065,48.202,46.324,47.164,47.233,6964100,3.327E+11,0,0,0.4,0.3955,0.8457,11/25/2021,Tài chính
